uid,datetime,latitude,longitude,date,time,day_of_week,month,year
1,2018-01-01 00:25:46,-1.18884981099406,36.93138243675122,2018-01-01,00:25:46,Monday,January,2018
4,2018-01-01 03:04:01,-1.28808711064054,36.826583403307296,2018-01-01,03:04:01,Monday,January,2018
5,2018-01-01 03:58:49,-1.18884981099406,36.93138243675122,2018-01-01,03:58:49,Monday,January,2018
7,2018-01-01 05:31:17,-1.16522821102464,36.960007703423706,2018-01-01,05:31:17,Monday,January,2018
8,2018-01-01 07:57:56,-1.30130261058807,36.820903303292,2018-01-01,07:57:56,Monday,January,2018
9,2018-01-01 09:57:27,-1.13463971131295,36.8482196034995,2018-01-01,09:57:27,Monday,January,2018
10,2018-01-01 10:48:59,-1.11720711118115,37.00827840347071,2018-01-01,10:48:59,Monday,January,2018
11,2018-01-01 11:23:14,-1.2825470106648,36.82723370331429,2018-01-01,11:23:14,Monday,January,2018
12,2018-01-01 11:32:24,-1.2722614207103602,36.8281065733273,2018-01-01,11:32:24,Monday,January,2018
14,2018-01-02 05:13:31,-1.3106566576446002,36.8054806097211,2018-01-02,05:13:31,Tuesday,January,2018
15,2018-01-02 05:28:15,-1.1888414109544598,36.9313708034022,2018-01-02,05:28:15,Tuesday,January,2018
16,2018-01-02 07:23:44,-1.26433113609309,36.7469843524426,2018-01-02,07:23:44,Tuesday,January,2018
17,2018-01-02 07:25:06,-1.26426660944345,36.74698523415729,2018-01-02,07:25:06,Tuesday,January,2018
18,2018-01-02 07:34:35,-1.32983701041026,36.855809503272,2018-01-02,07:34:35,Tuesday,January,2018
19,2018-01-02 07:34:54,-1.26433113609309,36.7469843524426,2018-01-02,07:34:54,Tuesday,January,2018
20,2018-01-02 07:37:25,-1.2641316290306,36.7542528847116,2018-01-02,07:37:25,Tuesday,January,2018
21,2018-01-02 07:38:40,-1.26433113609309,36.7469843524426,2018-01-02,07:38:40,Tuesday,January,2018
22,2018-01-02 07:41:50,-1.2641003775103898,36.75425230336489,2018-01-02,07:41:50,Tuesday,January,2018
23,2018-01-02 07:54:53,-1.26433113609309,36.7469843524426,2018-01-02,07:54:53,Tuesday,January,2018
24,2018-01-02 08:25:13,-1.26433113609309,36.7469843524426,2018-01-02,08:25:13,Tuesday,January,2018
25,2018-01-02 09:36:32,-1.1672840111931202,36.825383003464395,2018-01-02,09:36:32,Tuesday,January,2018
28,2018-01-02 11:43:40,-1.11907251168763,36.6184080035925,2018-01-02,11:43:40,Tuesday,January,2018
29,2018-01-02 12:53:00,-1.2870838106559899,36.81826470331129,2018-01-02,12:53:00,Tuesday,January,2018
30,2018-01-02 12:54:35,-1.3285224027756002,36.880780019064396,2018-01-02,12:54:35,Tuesday,January,2018
31,2018-01-02 13:14:14,-1.2922878743109099,36.8423884423268,2018-01-02,13:14:14,Tuesday,January,2018
32,2018-01-02 13:16:07,-1.32834076242482,36.8811599103441,2018-01-02,13:16:07,Tuesday,January,2018
33,2018-01-02 13:54:06,-1.3261974102945,36.881100270584795,2018-01-02,13:54:06,Tuesday,January,2018
34,2018-01-02 14:10:58,-1.48313562213472,37.0482844716554,2018-01-02,14:10:58,Tuesday,January,2018
35,2018-01-02 14:17:01,-1.1706894109834198,36.9722933034125,2018-01-02,14:17:01,Tuesday,January,2018
36,2018-01-02 14:41:44,-1.3261974102945,36.881100270584795,2018-01-02,14:41:44,Tuesday,January,2018
37,2018-01-02 15:00:34,-1.3261974102945,36.881100270584795,2018-01-02,15:00:34,Tuesday,January,2018
38,2018-01-02 15:03:19,-1.32815651050347,36.8707640046704,2018-01-02,15:03:19,Tuesday,January,2018
40,2018-01-02 16:55:16,-1.2623680106860902,36.8790866699941,2018-01-02,16:55:16,Tuesday,January,2018
41,2018-01-03 00:46:33,-1.46107358539872,36.9639318060297,2018-01-03,00:46:33,Wednesday,January,2018
42,2018-01-03 01:58:56,-1.2846493773566598,36.820902236634296,2018-01-03,01:58:56,Wednesday,January,2018
43,2018-01-03 02:19:21,-1.28470480968288,36.8209035879631,2018-01-03,02:19:21,Wednesday,January,2018
44,2018-01-03 02:19:59,-1.27306111238582,36.8129184019364,2018-01-03,02:19:59,Wednesday,January,2018
45,2018-01-03 02:22:36,-1.28478393683051,36.820374185281,2018-01-03,02:22:36,Wednesday,January,2018
46,2018-01-03 02:44:08,-1.28352951533251,36.8237275516571,2018-01-03,02:44:08,Wednesday,January,2018
47,2018-01-03 02:47:26,-1.28352951533251,36.8237275516571,2018-01-03,02:47:26,Wednesday,January,2018
48,2018-01-03 03:00:32,-1.28840901063693,36.8281760033063,2018-01-03,03:00:32,Wednesday,January,2018
49,2018-01-03 03:03:23,-1.2836638653328798,36.8226081616571,2018-01-03,03:03:23,Wednesday,January,2018
50,2018-01-03 03:09:23,-1.31075901057298,36.7997843032866,2018-01-03,03:09:23,Wednesday,January,2018
51,2018-01-03 03:13:26,-1.31659931049483,36.8338161532564,2018-01-03,03:13:26,Wednesday,January,2018
52,2018-01-03 03:17:40,-1.2836638653328798,36.8226081616571,2018-01-03,03:17:40,Wednesday,January,2018
53,2018-01-03 03:33:33,-1.2848295943104198,36.8213796181513,2018-01-03,03:33:33,Wednesday,January,2018
54,2018-01-03 03:58:34,-1.29081391063473,36.821557103305395,2018-01-03,03:58:34,Wednesday,January,2018
55,2018-01-03 04:07:11,-1.31659931049483,36.8338161532564,2018-01-03,04:07:11,Wednesday,January,2018
56,2018-01-03 04:18:49,-1.2996986426813602,36.80728913514071,2018-01-03,04:18:49,Wednesday,January,2018
57,2018-01-03 04:19:52,-1.2848065320572,36.8203252373514,2018-01-03,04:19:52,Wednesday,January,2018
58,2018-01-03 04:20:52,-1.4510349096960602,36.987778003043395,2018-01-03,04:20:52,Wednesday,January,2018
59,2018-01-03 04:45:21,-1.29081391063473,36.821557103305395,2018-01-03,04:45:21,Wednesday,January,2018
60,2018-01-03 05:09:38,-1.32834076242482,36.8811599103441,2018-01-03,05:09:38,Wednesday,January,2018
61,2018-01-03 05:10:12,-1.27019551059894,36.9198722033001,2018-01-03,05:10:12,Wednesday,January,2018
62,2018-01-03 05:10:26,-1.27019551059894,36.9198722033001,2018-01-03,05:10:26,Wednesday,January,2018
63,2018-01-03 05:20:26,-1.32834076242482,36.8811599103441,2018-01-03,05:20:26,Wednesday,January,2018
64,2018-01-03 05:28:37,-1.32834076242482,36.8811599103441,2018-01-03,05:28:37,Wednesday,January,2018
65,2018-01-03 05:31:50,-1.3261974102945,36.881100270584795,2018-01-03,05:31:50,Wednesday,January,2018
66,2018-01-03 05:49:32,-1.32919839227231,36.8745174526673,2018-01-03,05:49:32,Wednesday,January,2018
67,2018-01-03 05:54:31,-1.32856016038097,36.8807830032392,2018-01-03,05:54:31,Wednesday,January,2018
68,2018-01-03 06:27:33,-1.32834076242482,36.8811599103441,2018-01-03,06:27:33,Wednesday,January,2018
69,2018-01-03 06:37:32,-1.2885291053187,36.827448011653296,2018-01-03,06:37:32,Wednesday,January,2018
70,2018-01-03 07:14:07,-1.39570413032209,36.9408923366008,2018-01-03,07:14:07,Wednesday,January,2018
71,2018-01-03 07:18:33,-1.2859479328372299,36.8191979865396,2018-01-03,07:18:33,Wednesday,January,2018
72,2018-01-03 08:13:43,-1.28356774498119,36.823664066466996,2018-01-03,08:13:43,Wednesday,January,2018
73,2018-01-03 08:14:06,-1.2836638653328798,36.8226081616571,2018-01-03,08:14:06,Wednesday,January,2018
74,2018-01-03 08:24:18,-1.205572510452,36.9174398015152,2018-01-03,08:24:18,Wednesday,January,2018
75,2018-01-03 09:40:24,-1.2035702109076398,36.915826103388,2018-01-03,09:40:24,Wednesday,January,2018
76,2018-01-03 10:01:31,-1.28040801068588,36.818571003319796,2018-01-03,10:01:31,Wednesday,January,2018
77,2018-01-03 10:14:23,-1.31075901057298,36.7997843032866,2018-01-03,10:14:23,Wednesday,January,2018
78,2018-01-03 10:44:19,-1.2823080707263,36.7827327045719,2018-01-03,10:44:19,Wednesday,January,2018
79,2018-01-03 12:12:31,-1.4912238373470699,37.057248948841,2018-01-03,12:12:31,Wednesday,January,2018
80,2018-01-03 12:53:10,-1.30934820719567,36.8288096654417,2018-01-03,12:53:10,Wednesday,January,2018
81,2018-01-03 13:04:19,-1.2789499777143,36.907179170118,2018-01-03,13:04:19,Wednesday,January,2018
82,2018-01-03 13:25:16,-1.30130261058807,36.820903303292,2018-01-03,13:25:16,Wednesday,January,2018
83,2018-01-03 16:05:41,-1.31538281021621,36.894604953231,2018-01-03,16:05:41,Wednesday,January,2018
84,2018-01-04 01:12:44,-1.23380161279392,36.8731698056836,2018-01-04,01:12:44,Thursday,January,2018
85,2018-01-04 02:27:29,-1.26744143487214,36.83551840231209,2018-01-04,02:27:29,Thursday,January,2018
86,2018-01-04 03:06:56,-1.26433113609309,36.7469843524426,2018-01-04,03:06:56,Thursday,January,2018
87,2018-01-04 04:56:33,-1.25987632071535,36.7864740835265,2018-01-04,04:56:33,Thursday,January,2018
88,2018-01-04 06:06:01,-1.28298991065289,36.83472370331121,2018-01-04,06:06:01,Thursday,January,2018
89,2018-01-04 07:50:57,-1.28008971064798,36.8485277033105,2018-01-04,07:50:57,Thursday,January,2018
90,2018-01-04 07:58:40,-1.31075901057298,36.7997843032866,2018-01-04,07:58:40,Thursday,January,2018
91,2018-01-04 11:49:24,-1.1967633769486399,36.900566960705,2018-01-04,11:49:24,Thursday,January,2018
92,2018-01-04 11:54:40,-1.21719899436922,36.891440740006104,2018-01-04,11:54:40,Thursday,January,2018
93,2018-01-04 13:03:37,-1.28698731075601,36.7424011033359,2018-01-04,13:03:37,Thursday,January,2018
94,2018-01-04 13:06:27,-1.31246188287337,36.830222681399604,2018-01-04,13:06:27,Thursday,January,2018
95,2018-01-04 13:39:08,-1.25971001081527,36.7867350033491,2018-01-04,13:39:08,Thursday,January,2018
96,2018-01-04 13:40:36,-1.2844400106517901,36.8306190033107,2018-01-04,13:40:36,Thursday,January,2018
97,2018-01-05 01:38:23,-1.2699695107103701,36.8360283033278,2018-01-05,01:38:23,Friday,January,2018
98,2018-01-05 01:46:07,-1.30130261058807,36.820903303292,2018-01-05,01:46:07,Friday,January,2018
99,2018-01-05 02:22:12,-1.2467624609714398,36.6806061033252,2018-01-05,02:22:12,Friday,January,2018
100,2018-01-05 07:09:53,-1.2319674108265701,36.879069403363,2018-01-05,07:09:53,Friday,January,2018
101,2018-01-05 07:19:57,-1.23100521084921,36.8778795033504,2018-01-05,07:19:57,Friday,January,2018
102,2018-01-05 07:20:54,-1.23100521084921,36.8778795033504,2018-01-05,07:20:54,Friday,January,2018
103,2018-01-05 07:21:14,-1.25908001094157,36.7780300032778,2018-01-05,07:21:14,Friday,January,2018
104,2018-01-05 07:31:12,-1.2173112153099699,36.8944784616549,2018-01-05,07:31:12,Friday,January,2018
105,2018-01-05 08:05:36,-1.23099926512786,36.877874379425,2018-01-05,08:05:36,Friday,January,2018
106,2018-01-05 08:15:57,-1.23099926512786,36.877874379425,2018-01-05,08:15:57,Friday,January,2018
107,2018-01-05 12:38:00,-1.2825470106648,36.82723370331429,2018-01-05,12:38:00,Friday,January,2018
108,2018-01-05 15:25:17,-1.2888636927457602,36.6835158744946,2018-01-05,15:25:17,Friday,January,2018
109,2018-01-05 15:40:25,-1.29835777705315,36.8864014706279,2018-01-05,15:40:25,Friday,January,2018
110,2018-01-06 06:25:32,-1.47924517763491,37.0420165085017,2018-01-06,06:25:32,Saturday,January,2018
111,2018-01-06 10:03:17,-1.20717867773049,36.7858690034193,2018-01-06,10:03:17,Saturday,January,2018
112,2018-01-06 10:15:57,-1.20717867773049,36.7858690034193,2018-01-06,10:15:57,Saturday,January,2018
113,2018-01-06 10:35:22,-1.2047921184711898,36.9165389691296,2018-01-06,10:35:22,Saturday,January,2018
114,2018-01-06 17:36:42,-1.31659931049483,36.8338161532564,2018-01-06,17:36:42,Saturday,January,2018
115,2018-01-06 17:51:52,-1.31659931049483,36.8338161532564,2018-01-06,17:51:52,Saturday,January,2018
116,2018-01-06 18:30:41,-1.3050266105297301,36.85247560327689,2018-01-06,18:30:41,Saturday,January,2018
117,2018-01-06 19:54:40,-1.28087881067614,36.8243775033174,2018-01-06,19:54:40,Saturday,January,2018
118,2018-01-07 02:25:25,-1.32377085348256,36.8448302449307,2018-01-07,02:25:25,Sunday,January,2018
119,2018-01-07 02:45:25,-1.32368091045594,36.8443572032554,2018-01-07,02:45:25,Sunday,January,2018
120,2018-01-07 02:50:27,-1.32368091045594,36.8443572032554,2018-01-07,02:50:27,Sunday,January,2018
121,2018-01-07 07:37:19,-1.3054810105513601,36.8344243032823,2018-01-07,07:37:19,Sunday,January,2018
122,2018-01-07 09:08:00,-1.4740440100626102,36.6283690031323,2018-01-07,09:08:00,Sunday,January,2018
123,2018-01-07 09:28:10,-1.26553240864635,36.8025411026554,2018-01-07,09:28:10,Sunday,January,2018
124,2018-01-07 09:34:24,-1.26744143487214,36.83551840231209,2018-01-07,09:34:24,Sunday,January,2018
125,2018-01-07 09:38:08,-1.2630298600013,36.7643743598987,2018-01-07,09:38:08,Sunday,January,2018
126,2018-01-07 09:38:55,-1.26309001083574,36.76439000335979,2018-01-07,09:38:55,Sunday,January,2018
127,2018-01-07 09:41:35,-1.2628746694914,36.7642569376232,2018-01-07,09:41:35,Sunday,January,2018
128,2018-01-07 09:42:21,-1.2628746694914,36.7642569376232,2018-01-07,09:42:21,Sunday,January,2018
129,2018-01-07 09:44:47,-1.26309001083574,36.76439000335979,2018-01-07,09:44:47,Sunday,January,2018
130,2018-01-07 09:46:07,-1.26309001083574,36.76439000335979,2018-01-07,09:46:07,Sunday,January,2018
131,2018-01-07 09:53:51,-1.26274611083756,36.7642235033603,2018-01-07,09:53:51,Sunday,January,2018
132,2018-01-07 09:57:54,-1.26426660944345,36.74698523415729,2018-01-07,09:57:54,Sunday,January,2018
133,2018-01-07 10:08:28,-1.26309001083574,36.76439000335979,2018-01-07,10:08:28,Sunday,January,2018
134,2018-01-07 10:14:48,-1.26309001083574,36.76439000335979,2018-01-07,10:14:48,Sunday,January,2018
135,2018-01-07 10:37:02,-1.26274611083756,36.7642235033603,2018-01-07,10:37:02,Sunday,January,2018
136,2018-01-07 10:42:05,-1.26309001083574,36.76439000335979,2018-01-07,10:42:05,Sunday,January,2018
137,2018-01-07 10:50:44,-1.25056792764553,36.939975834451104,2018-01-07,10:50:44,Sunday,January,2018
138,2018-01-07 10:53:23,-1.26378897205483,36.7639349848911,2018-01-07,10:53:23,Sunday,January,2018
139,2018-01-07 10:59:22,-1.26426660944345,36.74698523415729,2018-01-07,10:59:22,Sunday,January,2018
140,2018-01-07 10:59:38,-1.2579113107230702,36.868017003333,2018-01-07,10:59:38,Sunday,January,2018
141,2018-01-07 11:38:03,-1.2629712254898,36.7650248345428,2018-01-07,11:38:03,Sunday,January,2018
142,2018-01-07 13:46:42,-1.21325806105343,36.660526103342,2018-01-07,13:46:42,Sunday,January,2018
143,2018-01-07 14:56:15,-1.26433113609309,36.7469843524426,2018-01-07,14:56:15,Sunday,January,2018
144,2018-01-07 16:16:31,-1.26433113609309,36.7469843524426,2018-01-07,16:16:31,Sunday,January,2018
145,2018-01-07 17:57:27,-1.1837491108761398,37.0081209033838,2018-01-07,17:57:27,Sunday,January,2018
146,2018-01-08 01:31:07,-1.26744143487214,36.83551840231209,2018-01-08,01:31:07,Monday,January,2018
147,2018-01-08 02:49:01,-1.25997519893869,36.8434175352992,2018-01-08,02:49:01,Monday,January,2018
148,2018-01-08 02:50:30,-1.25997519893869,36.8434175352992,2018-01-08,02:50:30,Monday,January,2018
149,2018-01-08 03:04:19,-1.25936693070694,36.843122763198,2018-01-08,03:04:19,Monday,January,2018
150,2018-01-08 03:12:26,-1.25997519893869,36.8434175352992,2018-01-08,03:12:26,Monday,January,2018
151,2018-01-08 03:21:23,-1.25936693070694,36.843122763198,2018-01-08,03:21:23,Monday,January,2018
152,2018-01-08 04:27:56,-1.2628746694914,36.7642569376232,2018-01-08,04:27:56,Monday,January,2018
153,2018-01-08 05:10:29,-1.28962559080291,36.7615651604999,2018-01-08,05:10:29,Monday,January,2018
154,2018-01-08 05:19:53,-1.28962559080291,36.7615651604999,2018-01-08,05:19:53,Monday,January,2018
155,2018-01-08 05:33:33,-1.28941451072061,36.761583503327714,2018-01-08,05:33:33,Monday,January,2018
156,2018-01-08 07:11:01,-1.2895212885512,36.7615773631129,2018-01-08,07:11:01,Monday,January,2018
157,2018-01-08 09:03:59,-1.28476851065616,36.8261138033118,2018-01-08,09:03:59,Monday,January,2018
158,2018-01-08 09:41:11,-1.27493381149678,36.8234167409223,2018-01-08,09:41:11,Monday,January,2018
159,2018-01-08 10:11:38,-1.23374626121378,36.8731383538059,2018-01-08,10:11:38,Monday,January,2018
160,2018-01-08 10:19:22,-1.28698731075601,36.7424011033359,2018-01-08,10:19:22,Monday,January,2018
161,2018-01-08 10:23:54,-1.23101819198802,36.8783298513453,2018-01-08,10:23:54,Monday,January,2018
162,2018-01-08 10:25:01,-1.2355213842030601,36.8727336649102,2018-01-08,10:25:01,Monday,January,2018
163,2018-01-08 10:26:47,-1.24478301088143,36.866854236923,2018-01-08,10:26:47,Monday,January,2018
164,2018-01-08 10:41:20,-1.23099926512776,36.877874379425,2018-01-08,10:41:20,Monday,January,2018
165,2018-01-08 10:52:20,-1.2898914107323898,36.7503364033296,2018-01-08,10:52:20,Monday,January,2018
166,2018-01-08 10:54:24,-1.2898914107323898,36.7503364033296,2018-01-08,10:54:24,Monday,January,2018
167,2018-01-08 10:57:59,-1.2355213842030601,36.8727336649102,2018-01-08,10:57:59,Monday,January,2018
168,2018-01-08 11:22:41,-1.24478301088143,36.866854236923,2018-01-08,11:22:41,Monday,January,2018
169,2018-01-08 11:55:52,-1.24502899174986,36.8672981479359,2018-01-08,11:55:52,Monday,January,2018
170,2018-01-08 13:03:42,-1.23099926512776,36.877874379425,2018-01-08,13:03:42,Monday,January,2018
171,2018-01-08 14:10:54,-1.17119030190043,36.972582438127105,2018-01-08,14:10:54,Monday,January,2018
172,2018-01-08 14:29:12,-1.28984661532702,36.8102347516552,2018-01-08,14:29:12,Monday,January,2018
173,2018-01-08 15:04:26,-1.25640151074036,36.8552620033542,2018-01-08,15:04:26,Monday,January,2018
174,2018-01-08 15:15:00,-1.25641987343312,36.8552761028285,2018-01-08,15:15:00,Monday,January,2018
175,2018-01-08 15:28:29,-1.30360101056916,36.827346003287,2018-01-08,15:28:29,Monday,January,2018
176,2018-01-08 17:21:53,-1.30708801053304,36.8428190032774,2018-01-08,17:21:53,Monday,January,2018
177,2018-01-09 01:09:32,-1.11780826117638,37.00895955346989,2018-01-09,01:09:32,Tuesday,January,2018
178,2018-01-09 03:22:21,-1.2658876053495,36.858796411662794,2018-01-09,03:22:21,Tuesday,January,2018
179,2018-01-09 03:44:06,-1.29816716531844,36.8029120166476,2018-01-09,03:44:06,Tuesday,January,2018
181,2018-01-09 04:57:59,-1.2609945418792399,36.7960545329563,2018-01-09,04:57:59,Tuesday,January,2018
182,2018-01-09 05:39:43,-1.28563011065705,36.822484803311795,2018-01-09,05:39:43,Tuesday,January,2018
183,2018-01-09 07:48:51,-1.20652401088955,36.919322303383005,2018-01-09,07:48:51,Tuesday,January,2018
184,2018-01-09 18:00:05,-1.21667001124132,36.616670003466794,2018-01-09,18:00:05,Tuesday,January,2018
185,2018-01-10 00:42:48,-1.2644813365993501,36.7396176561025,2018-01-10,00:42:48,Wednesday,January,2018
189,2018-01-10 03:20:42,-1.30208071064359,36.7759077033056,2018-01-10,03:20:42,Wednesday,January,2018
190,2018-01-10 04:15:54,-1.26604711084026,36.7507374033603,2018-01-10,04:15:54,Wednesday,January,2018
